date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:01	364224/364224	---M--	200	added ('OK')	image/gif	etag:%2214dc3677-58ec0-580008fa71380%22	https://sojonever.com/html/zuman/img/work_05.gif	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/work_05.gif	(from https://sojonever.com/html/zuman/index.html)
13:39:01	5038/5038	---M--	200	added ('OK')	image/png	etag:%2214dc365f-13ae-5737731f51100%22	https://sojonever.com/html/zuman/img/brand/brand_03.png	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/brand/brand_03.png	(from https://sojonever.com/html/zuman/index.html)
13:39:01	5538/5538	---M--	200	added ('OK')	image/png	etag:%2214dc3660-15a2-5737732ac2c00%22	https://sojonever.com/html/zuman/img/brand/brand_04.png	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/brand/brand_04.png	(from https://sojonever.com/html/zuman/index.html)
13:39:01	5561/5561	---M--	200	added ('OK')	image/png	etag:%2214dc3661-15b9-573773344c280%22	https://sojonever.com/html/zuman/img/brand/brand_05.png	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/brand/brand_05.png	(from https://sojonever.com/html/zuman/index.html)
13:39:02	5300/5300	---M--	200	added ('OK')	image/png	etag:%2214dc3662-14b4-5737733dd5900%22	https://sojonever.com/html/zuman/img/brand/brand_06.png	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/brand/brand_06.png	(from https://sojonever.com/html/zuman/index.html)
13:39:02	3809/3809	---M--	200	added ('OK')	image/png	etag:%2214dc3663-ee1-5737734947400%22	https://sojonever.com/html/zuman/img/brand/brand_07.png	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/img/brand/brand_07.png	(from https://sojonever.com/html/zuman/index.html)
13:39:03	1199/1199	---M--	200	added ('OK')	application/javascript	etag:%2214dc3684-4af-5801289031300%22	https://sojonever.com/html/zuman/js/ajax-mail.js	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/js/ajax-mail.js	(from https://sojonever.com/html/zuman/index.html)
13:39:05	97163/97163	---M--	200	added ('OK')	application/javascript	etag:%2214dc368b-17b8b-5803026207480%22	https://sojonever.com/html/zuman/js/vendor/jquery-1.12.4.min.js	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/js/vendor/jquery-1.12.4.min.js	(from https://sojonever.com/html/zuman/index.html)
13:39:06	175838/175838	---M--	200	added ('OK')	application/javascript	etag:%2214dc3687-2aede-58010f3393d00%22	https://sojonever.com/html/zuman/js/plugins.js	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/js/plugins.js	(from https://sojonever.com/html/zuman/index.html)
13:39:08	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2214dc3651-1d794-57ab062902580%22	https://sojonever.com/html/zuman/fonts/ionicons.eot?v=2.0.1	C:/My%20Web%20Sites/potfolio/sojonever.com/html/zuman/fonts/ionicons790f.eot	(from https://sojonever.com/html/zuman/css/ionicons.css)
